burnName,date,y,x,lat,lon,predicted_prob
Wolfpack,0720,455,591,48.217596787199504,-92.20590022185219,0.9629971981048584
Wolfpack,0720,485,620,48.20950408359372,-92.19416289936912,0.5780487656593323
Wolfpack,0720,499,582,48.20572748857769,-92.20954283917453,0.9514111876487732
Wolfpack,0720,584,486,48.182798161694635,-92.2483974239461,0.9544785022735596
Wolfpack,0720,460,592,48.21624800326521,-92.20549548659416,0.9537050724029541
Wolfpack,0720,508,615,48.203299677495956,-92.1961865756593,0.6289835572242737
Wolfpack,0720,500,600,48.20545773179083,-92.20225760452986,0.9705654382705688
Wolfpack,0720,531,509,48.19709527139819,-92.23908851301124,0.9037743806838989
Wolfpack,0720,499,590,48.20572748857769,-92.20630495711023,0.9627833962440491
Wolfpack,0720,475,602,48.212201651462316,-92.20144813401379,0.8050363063812256
Wolfpack,0720,489,607,48.20842505644629,-92.1994244577236,0.9521406888961792
Wolfpack,0720,529,487,48.1976347849719,-92.24799268868806,0.9680107831954956
Wolfpack,0720,496,602,48.20653675893827,-92.20144813401379,0.9675812721252441
Wolfpack,0720,549,533,48.192239649234715,-92.22937486681835,0.9320226311683655
Wolfpack,0720,572,483,48.18603524313695,-92.2496116297202,0.9748107194900513
Wolfpack,0720,578,526,48.184416702415795,-92.23220801362461,0.9685684442520142
Wolfpack,0720,528,548,48.19790454175877,-92.2233038379478,0.9162569046020508
Wolfpack,0720,474,602,48.21247140824918,-92.20144813401379,0.8225435614585876
Wolfpack,0720,523,581,48.199253325693064,-92.20994757443256,0.9629480242729187
Wolfpack,0720,526,530,48.19844405533249,-92.23058907259247,0.9532020688056946
Wolfpack,0720,601,496,48.17821229631802,-92.24435007136573,0.7153748273849487
Wolfpack,0720,547,545,48.192779162808435,-92.2245180437219,0.9407601356506348
Wolfpack,0720,587,518,48.18198889133406,-92.23544589568891,0.9861775636672974
Wolfpack,0720,506,548,48.203839191069676,-92.2233038379478,0.9751043915748596
Wolfpack,0720,487,595,48.20896457002,-92.20428128082004,0.9824900031089783
Wolfpack,0720,533,496,48.19655575782447,-92.24435007136573,0.958582878112793
Wolfpack,0720,544,549,48.19358843316901,-92.22289910268975,0.9559699296951294
Wolfpack,0720,528,559,48.19790454175877,-92.21885175010938,0.9377862215042114
Wolfpack,0720,508,565,48.203299677495956,-92.21642333856116,0.9643455743789673
Wolfpack,0720,545,471,48.193318676382155,-92.25446845281665,0.9656287431716919
Wolfpack,0720,579,488,48.18414694562893,-92.24758795343003,0.949465811252594
Wolfpack,0720,589,518,48.18144937776034,-92.23544589568891,0.9853004217147827
Wolfpack,0720,463,591,48.21543873290463,-92.20590022185219,0.9453583359718323
Wolfpack,0720,584,522,48.182798161694635,-92.23382695465676,0.9746493697166443
Wolfpack,0720,592,525,48.18064010739976,-92.23261274888264,0.9605839252471924
Wolfpack,0720,591,527,48.18090986418662,-92.23180327836657,0.8829081058502197
Wolfpack,0720,571,531,48.186304999923806,-92.23018433733442,0.8676425814628601
Wolfpack,0720,488,601,48.208694813233144,-92.20185286927182,0.9629772901535034
Wolfpack,0720,596,506,48.17956108025232,-92.24030271878536,0.9328227043151855
Wolfpack,0720,488,585,48.208694813233144,-92.20832863340041,0.9736930727958679
Wolfpack,0720,529,539,48.1976347849719,-92.22694645527012,0.9579513669013977
Wolfpack,0720,492,616,48.207615786085704,-92.19578184040127,0.9553327560424805
Wolfpack,0720,570,484,48.18657475671067,-92.24920689446218,0.9585440754890442
Wolfpack,0720,523,562,48.199253325693064,-92.21763754433528,0.888892412185669
Wolfpack,0720,512,594,48.202220650348515,-92.20468601607809,0.9615684151649475
Wolfpack,0720,499,614,48.20572748857769,-92.19659131091734,0.8968403339385986
Wolfpack,0720,501,606,48.20518797500397,-92.19982919298164,0.9691489934921265
Wolfpack,0720,532,487,48.19682551461133,-92.24799268868806,0.9592018723487854
Wolfpack,0720,582,487,48.183337675268355,-92.24799268868806,0.9560336470603943
Wolfpack,0720,461,614,48.21597824647835,-92.19659131091734,0.7344262599945068
Wolfpack,0720,539,508,48.19493721710331,-92.23949324826928,0.9417669177055359
Wolfpack,0720,498,613,48.20599724536455,-92.19699604617537,0.9142084121704102
Wolfpack,0720,485,611,48.20950408359372,-92.19780551669145,0.5363304018974304
Wolfpack,0720,556,533,48.1903513517267,-92.22937486681835,0.9532577991485596
