burnName,date,y,x,lat,lon,predicted_prob
Aspen_Acres,0720,850,316,37.97431546573352,-105.06089861670996,0.565437912940979
Aspen_Acres,0720,950,308,37.947339787047575,-105.06363968171163,0.8684268593788147
Aspen_Acres,0720,922,328,37.95489297707964,-105.05678701920745,0.9641764760017395
Aspen_Acres,0720,922,315,37.95489297707964,-105.06124124983516,0.9403447508811951
Aspen_Acres,0720,866,309,37.96999935714377,-105.06329704858642,0.9161588549613953
Aspen_Acres,0720,867,314,37.96972960035691,-105.06158388296038,0.9102151989936829
Aspen_Acres,0720,878,282,37.966762275701456,-105.07254814296708,0.8649402260780334
Aspen_Acres,0720,861,355,37.97134814107807,-105.04753592482679,0.8243032693862915
Aspen_Acres,0720,872,342,37.96838081642261,-105.0519901554545,0.8547683358192444
Aspen_Acres,0720,961,335,37.94437246239212,-105.05438858733098,0.9484004974365234
Aspen_Acres,0720,949,312,37.94760954383443,-105.06226914921079,0.8727715015411377
Aspen_Acres,0720,906,360,37.959209085669386,-105.04582275920073,0.9478502869606018
Aspen_Acres,0720,892,383,37.96298568068542,-105.03794219732092,0.8044466972351074
Aspen_Acres,0720,859,303,37.97188765465179,-105.06535284733768,0.8359904289245605
Aspen_Acres,0720,878,368,37.966762275701456,-105.04308169419906,0.6039694547653198
Aspen_Acres,0720,855,335,37.97296668179922,-105.05438858733098,0.844275951385498
Aspen_Acres,0720,895,370,37.962176410324844,-105.04239642794865,0.8661994338035583
Aspen_Acres,0720,888,382,37.96406470783286,-105.03828483044613,0.8181630373001099
Aspen_Acres,0720,890,385,37.96352519425914,-105.0372569310705,0.8331905603408813
Aspen_Acres,0720,873,318,37.96811105963575,-105.06021335045953,0.8953285813331604
Aspen_Acres,0720,882,304,37.965683248554015,-105.06501021421248,0.9229560494422913
Aspen_Acres,0720,858,327,37.972157411438644,-105.05712965233265,0.9037505984306335
Aspen_Acres,0720,855,311,37.97296668179922,-105.062611782336,0.8499850630760193
Aspen_Acres,0720,884,270,37.965143734980295,-105.0766597404696,0.7657408118247986
Aspen_Acres,0720,888,302,37.96406470783286,-105.06569548046289,0.8884214758872986
Aspen_Acres,0720,937,301,37.950846625276746,-105.0660381135881,0.8656561374664307
Aspen_Acres,0720,866,293,37.96999935714377,-105.06877917858978,0.7156615257263184
Aspen_Acres,0720,883,305,37.96541349176716,-105.06466758108726,0.9335871934890747
Aspen_Acres,0720,880,334,37.966222762127735,-105.05473122045619,0.9059372544288635
Aspen_Acres,0720,951,301,37.94707003026071,-105.0660381135881,0.8080819249153137
Aspen_Acres,0720,964,328,37.94356319203154,-105.05678701920745,0.9378726482391357
Aspen_Acres,0720,877,305,37.96703203248831,-105.06466758108726,0.9102280735969543
Aspen_Acres,0720,870,357,37.96892032999633,-105.04685065857636,0.6972105503082275
Aspen_Acres,0720,859,334,37.97188765465179,-105.05473122045619,0.8950070738792419
Aspen_Acres,0720,879,379,37.96649251891459,-105.03931272982176,0.6555299162864685
Aspen_Acres,0720,922,297,37.95489297707964,-105.06740864608894,0.8964840173721313
Aspen_Acres,0720,852,325,37.9737759521598,-105.05781491858308,0.6992001533508301
Aspen_Acres,0720,962,340,37.94410270560526,-105.05267542170493,0.9462504386901855
Aspen_Acres,0720,928,307,37.953274436358484,-105.06398231483685,0.8991597890853882
Aspen_Acres,0720,897,371,37.96163689675112,-105.04205379482343,0.8715398907661438
